step	train_tch_2/train_loss
1	0.39488124740975244
2	0.21450050175189972
3	0.16197406394141062
4	0.1448368797344821
5	0.13736382446118764
6	0.12961302005818912
7	0.12151314371398517
8	0.11485565214284829
9	0.10591504722833633
10	0.09848724545112678
11	0.09388741478323936
12	0.09060986366655145
13	0.09042988424854619
14	0.08835660107433796
15	0.08793194858091218
16	0.08499192340033394
17	0.08417169377207756
18	0.08745055299784456
19	0.08776234968432359
20	0.08242468083543437
21	0.08352666055517537
22	0.0819150587277753
23	0.07953845576516219
24	0.07928846776485443
25	0.07954989054373332
26	0.0776009780487844
27	0.07670873403549194
28	0.08080889444266047
29	0.07655701812888895
30	0.07511921240282911
31	0.0772570331713983
32	0.07593692147306033
33	0.07484437312398638
34	0.07410057501069137
35	0.0724578435931887
36	0.07175477807010923
37	0.0726110836757081
38	0.07101928988205534
39	0.07085910506014313
40	0.06956610908465725
41	0.06882318495107549
42	0.06791620222585541
43	0.06870717076318604
44	0.0693439066942249
