step	train_tch_1/train_loss
1	0.367103073181528
2	0.18385854137666297
3	0.1412877052119284
4	0.12872482429851184
5	0.12374598442605048
6	0.12073320692235773
7	0.11912099204280159
8	0.11568600029656381
9	0.1138703642469464
10	0.11275827026728427
11	0.11199699929266264
12	0.11055589331821962
13	0.10910051812728246
14	0.10753244771198793
15	0.1059111085805026
16	0.10361742566932332
17	0.10251820426095616
18	0.10402803619702657
19	0.10185348332831354
20	0.10055495911475384
21	0.10027451339093121
22	0.10112294961105693
23	0.09946551444855603
24	0.09782777929847891
25	0.0984447727149183
26	0.09665879020185182
27	0.09502112391320142
