step	train_stu/train_loss
1	0.40382677619345486
2	0.29962424491532147
3	0.2253207032335922
4	0.1742745281662792
5	0.1403341864934191
6	0.11805471061961725
7	0.10347194189671427
8	0.09390603692736477
9	0.08759659243514761
10	0.0834232863271609
11	0.0806676865904592
12	0.07870431325864047
13	0.07706307602347806
14	0.07551488489843905
15	0.07390716427471489
16	0.07176561327651143
17	0.0698675409075804
18	0.0685643250180874
19	0.067553267814219
20	0.06679030726081692
21	0.06620446950546466
22	0.06562762954854406
23	0.06513916325639002
24	0.06473593084956519
25	0.06438887238618918
26	0.06414782500360161
27	0.06379678461235017
28	0.06356672028778121
29	0.06335017833043821
30	0.06310138627304696
31	0.06293356034439057
32	0.06279349228134379
33	0.06262589775724337
34	0.06244603937375359
35	0.06230867360136472
36	0.062211381417000666
37	0.062131040496751666
38	0.062030367844272405
39	0.0618351315788459
40	0.061762613797327504
41	0.06169004016555846
42	0.06158188951667398
43	0.061576405656524
44	0.06145473450305872
45	0.06134333155932836
46	0.06129988920292817
47	0.06124681490473449
48	0.061222966003697366
49	0.061068891402101144
50	0.061023389775073156
