step	train_stu/train_loss
1	0.4049804622773081
2	0.30894904653541744
3	0.2396025280468166
4	0.18986066000070423
5	0.15540243580471724
6	0.1318964081001468
7	0.11579595960211009
8	0.10466576623730361
9	0.09686535788932815
10	0.09134930797154084
11	0.08738847670610994
12	0.08441591972950846
13	0.08174688188591972
14	0.0793738201027736
15	0.07724581303773448
16	0.07541258254786953
17	0.0736508920090273
18	0.07211027789162472
19	0.07098679337650537
20	0.07007583271479234
21	0.06937975960317999
22	0.06867557461373508
23	0.06805852995603345
24	0.06742315288283862
25	0.06681408468284644
26	0.06619599877740256
27	0.0656506288505625
28	0.06502954234019853
29	0.06453894832520746
30	0.06404404950444587
31	0.06366871483623981
32	0.06325402608490549
33	0.06291785358916968
34	0.0626613422355149
35	0.062385368219111115
36	0.062191593897296116
37	0.06199868518160656
38	0.061833578773075715
