step	train_tch_3/train_loss
1	0.376722370438716
2	0.20794797644895666
3	0.1710769871578497
4	0.16204300829592874
5	0.15529719126575134
6	0.16323868842685924
7	0.1543788598740802
8	0.15187204037519061
9	0.1489056719138342
10	0.13971550631172516
11	0.1356322149581769
12	0.13538639839081204
13	0.1304044037619058
14	0.12348905797390376
15	0.11841227990739486
16	0.11396183314568856
17	0.11071996412733022
18	0.10945219546556473
19	0.12520223067087285
20	0.10953119287596029
21	0.11864778969217749
22	0.1072370633482933
23	0.11062113173744258
24	0.10179873681901132
25	0.10042854025959969
26	0.09973021903458763
27	0.09800099099383634
28	0.09469207770684186
29	0.10048255390104126
30	0.0961926267208422
31	0.09109056538299602
32	0.09593646907631088
33	0.09361953967634369
34	0.09048570714452688
35	0.0907219167360488
36	0.08803241656107061
37	0.10609123055987499
38	0.0926890337072751
39	0.09114913631449728
40	0.16244051605463028
