step	train_tch_1/train_loss
1	0.34676602979501087
2	0.16811441076107514
3	0.1345877177440203
4	0.1254435922854986
5	0.12206386774778366
6	0.12007073847911297
7	0.11979671051869026
8	0.11807511957027973
9	0.11726871877908707
10	0.11638423170034702
11	0.11464283023125087
12	0.11364916310860561
13	0.11268572872265792
14	0.1135831077893575
15	0.11555875608554253
16	0.11579404045373966
17	0.11588437950763947
18	0.12876387456288704
19	0.1119201552027311
20	0.11095424474049838
21	0.10970217772783378
22	0.11114864318798749
23	0.11338083426921795
24	0.11341214122680518
25	0.1116578519726411
26	0.11395786033991055
27	0.11205224406260711
28	0.11133485535780589
29	0.11060238553163333
30	0.11203776758450729
31	0.10971317306543008
32	0.10898810797012769
33	0.12139086941113839
34	0.10910706833387032
35	0.10839811120277797
36	0.10927238582800596
37	0.11441426628675216
38	0.11018497802508183
39	0.1084701113211803
40	0.1069355835326207
