step	train_stu/train_loss
1	0.39264671434648335
2	0.29900268092751503
3	0.22517200640868396
4	0.17473766265902668
5	0.14225550589617342
6	0.12144535017432645
7	0.10781735274940729
8	0.09865681466180831
9	0.09229830757249147
10	0.08766093460144475
11	0.08416982676135376
12	0.08135100657818839
13	0.07882243121275678
14	0.07626978325424716
15	0.07369996776105836
16	0.0713023379794322
17	0.06928081647492945
18	0.06769608764443547
19	0.06630110924015753
20	0.0652554479893297
21	0.06434291784535162
22	0.06359757692553103
23	0.06303958789794706
24	0.06243999904836528
25	0.06190825445810333
26	0.06151145527837798
27	0.061102985637262464
28	0.06077748443931341
29	0.060484732588520274
30	0.06016267993254587
31	0.05983746869605966
32	0.059584615228231996
33	0.059357843798352405
34	0.059130140143679455
35	0.05892880674218759
36	0.0587737177265808
37	0.058600485732313246
38	0.0584475118375849
39	0.05827969024539925
40	0.058178672421490774
41	0.058001892088213935
42	0.057914598466595635
43	0.05778610226116143
44	0.05762966186739504
45	0.05756137109710835
46	0.05747146502835676
47	0.057326186855789274
48	0.05725445062853396
49	0.0571440135827288
50	0.05705356685211882
