step	train_stu/train_loss
1	0.36035768408328295
2	0.3154029834549874
3	0.2691398239694536
4	0.22757887898478657
5	0.19231073965784162
6	0.16380770516116172
7	0.1419554544845596
8	0.12522773549426347
9	0.1124974531121552
10	0.10286358615849167
11	0.09554172062780708
12	0.0899200618150644
13	0.08563408040208742
14	0.08227795944549143
15	0.07965386006981134
16	0.07758109911810607
17	0.07599857443710789
18	0.07467225624714047
19	0.07361149130156264
20	0.07274416665313765
21	0.07201583223650232
22	0.0713018752867356
23	0.07044665399007499
24	0.0693920093763154
25	0.06819516827818006
26	0.06695833083358593
27	0.0659274390200153
28	0.06482551549561322
29	0.06386379091418348
30	0.06291906166006811
31	0.06203512477804907
32	0.06117762785288505
33	0.06039997874177061
34	0.05952205101493746
35	0.058688891935162246
36	0.058038017217768356
37	0.05731607318739407
38	0.05667807688587345
39	0.05600195750594139
40	0.05557073952513747
41	0.05501536067458801
42	0.05456443745060824
43	0.05415587977040559
44	0.053804584400495514
45	0.05345201588352211
46	0.05324112618109211
47	0.05289445197558962
48	0.05266579717863351
49	0.052446423447690904
50	0.05218150210566819
