step	train_stu/train_loss
1	0.37317808787338436
2	0.29094987525604665
3	0.21915632009040564
4	0.16765979386400431
5	0.13458460761466995
6	0.11367798189166933
7	0.10003461153246462
8	0.09097977762576193
9	0.08504643896594644
10	0.08095090015558526
11	0.0778026707121171
12	0.07475467980839312
13	0.07169882883317769
14	0.06897572276648134
15	0.06672314286697656
16	0.06489953232812695
17	0.0634514317207504
18	0.062381370982620865
19	0.06148228081292473
20	0.06076086047687568
21	0.060136469546705484
22	0.059570049081230536
23	0.059090262511745095
24	0.05866990640060976
